text,canonical_form_1,category_1,severity_rating,severity_description
b0llocks,bollocks,sexual anatomy / sexual acts,1.2,mild
b1+ch,bitch,sexual orientation / gender,1,mild
b17ch,bitch,sexual orientation / gender,1.4,mild
b1otch,bitch,sexual orientation / gender,1.4,mild
b1otchs,bitch,sexual orientation / gender,1.2,mild
b1tch,bitch,sexual orientation / gender,1.4,mild
b1tch1ng,bitch,sexual orientation / gender,1.2,mild
b1tch35,bitch,sexual orientation / gender,1,mild
b1tch3s,bitch,sexual orientation / gender,1.4,mild
b1tchees,bitch,sexual orientation / gender,1.4,mild
b1tches,bitch,sexual orientation / gender,1.4,mild
b1tchez,bitch,sexual orientation / gender,1.2,mild
b1tchin,bitch,other / general insult,1.2,mild
b1tching,bitch,sexual orientation / gender,1.2,mild
b1tchs,bitch,sexual orientation / gender,1.4,mild
b1tchy,bitch,sexual orientation / gender,1.2,mild
baby batter,baby batter,bodily fluids / excrement,1.4,mild
ballbag,bollocks,sexual anatomy / sexual acts,1,mild
bangbros,bang,sexual anatomy / sexual acts,1.6,strong
bassturd,bastard,other / general insult,1.2,mild
bastard,bastard,other / general insult,1.2,mild
bastardish,bastard,other / general insult,1,mild
bastards,bastard,other / general insult,1.6,strong
basterd,bastard,other / general insult,1,mild
bastid,bastard,other / general insult,1.2,mild
bastinado,bastard,other / general insult,1.8,strong
basturd,bastard,bodily fluids / excrement,1.2,mild
bater,masturbate,sexual anatomy / sexual acts,1.6,strong
bates,masturbate,sexual anatomy / sexual acts,1,mild
batshit,shit,bodily fluids / excrement,1,mild
batshite,shit,bodily fluids / excrement,1.2,mild
bbc,cock,sexual anatomy / sexual acts,1.4,mild
bean queen,bean queen,racial / ethnic slurs,2.2,strong
beaner,beaner,racial / ethnic slurs,2.6,severe
beaners,beaner,racial / ethnic slurs,2.6,severe
beat my meat,meat,sexual anatomy / sexual acts,1.2,mild
beat off,beat off,sexual anatomy / sexual acts,1.2,mild
beat the meat,meat,sexual anatomy / sexual acts,1.4,mild
beat your meat,meat,sexual anatomy / sexual acts,1.4,mild
beeotch,bitch,sexual orientation / gender,1,mild
bell end,bellend,mental disability,1,mild
bellend,bellend,sexual anatomy / sexual acts,1.2,mild
bender,bender,sexual orientation / gender,1.6,strong
bewbs,boobs,sexual anatomy / sexual acts,1,mild
beyoch,bitch,sexual orientation / gender,1.2,mild
beyotch,bitch,other / general insult,1.2,mild
bi + ch,bitch,sexual orientation / gender,1.2,mild
bi+ch,bitch,sexual orientation / gender,1.4,mild
biatch,bitch,sexual orientation / gender,1.2,mild
biches,bitch,sexual orientation / gender,1.4,mild
biotch,bitch,sexual orientation / gender,1,mild
biotches,bitch,sexual orientation / gender,1.2,mild
biotchez,bitch,sexual orientation / gender,1.4,mild
bishes,bitch,sexual orientation / gender,1.2,mild
bitch,bitch,sexual orientation / gender,1.4,mild
bitch3s,bitch,sexual orientation / gender,1.2,mild
bitchass,bitch,sexual orientation / gender,1.6,strong
bitchasses,bitch,sexual anatomy / sexual acts,1.8,strong
bitched,bitch,sexual orientation / gender,1.2,mild
bitcher,bitch,sexual orientation / gender,1.4,mild
bitchers,bitch,sexual orientation / gender,1.4,mild
bitches,bitch,sexual orientation / gender,1.6,strong
bitchez,bitch,sexual orientation / gender,1.4,mild
bitchfuck,fuck,sexual anatomy / sexual acts,2.4,strong
bitchhole,bitch,sexual anatomy / sexual acts,2.4,strong
bitchin,bitch,other / general insult,1.2,mild
bitchin',bitch,other / general insult,1,mild
bitching,bitch,sexual orientation / gender,1,mild
bitchlike,bitch,sexual orientation / gender,1.2,mild
bitchness,bitch,sexual orientation / gender,1.6,strong
bitchs,bitch,sexual orientation / gender,1,mild
bitchslap,bitch,sexual orientation / gender,1,mild
bitchtits,bitch,sexual anatomy / sexual acts,2.2,strong
bitchy,bitch,sexual orientation / gender,1.2,mild
bitchy ass,bitch,sexual anatomy / sexual acts,1.8,strong
bizzach,bitch,sexual orientation / gender,1.6,strong
bj,blowjob,sexual anatomy / sexual acts,1.6,strong
blacky,blacky,racial / ethnic slurs,2.4,strong
blow a load,blow a load,bodily fluids / excrement,1.6,strong
blow job,blowjob,sexual anatomy / sexual acts,2,strong
blowjob,blowjob,sexual anatomy / sexual acts,1.2,mild
blumpkin boy,blumpkin,sexual anatomy / sexual acts,2.4,strong
boll0ck,bollocks,sexual anatomy / sexual acts,1,mild
bollock,bollocks,sexual anatomy / sexual acts,1,mild
bollockchops,bollocks,sexual anatomy / sexual acts,1.2,mild
bollocks,bollocks,sexual anatomy / sexual acts,1.2,mild
bollocktician,bollocks,sexual anatomy / sexual acts,1.4,mild
bollox,bollocks,sexual anatomy / sexual acts,1,mild
bondage,bondage,sexual anatomy / sexual acts,1,mild
boner,boner,sexual anatomy / sexual acts,1,mild
bonk juice,bonk,bodily fluids / excrement,1.6,strong
boobs,boobs,sexual anatomy / sexual acts,1,mild
booty,booty,sexual anatomy / sexual acts,1,mild
breasticles,breast,sexual anatomy / sexual acts,1.4,mild
breasts,breast,sexual anatomy / sexual acts,1,mild
bugger,bugger,sexual anatomy / sexual acts,1.2,mild
bugger off,bugger,sexual anatomy / sexual acts,1,mild
bull shit,shit,bodily fluids / excrement,1,mild
bullshi,shit,bodily fluids / excrement,1,mild
bullshit,shit,bodily fluids / excrement,1.2,mild
bullshite,shit,bodily fluids / excrement,1,mild
bum-bandits,bum,sexual orientation / gender,1.8,strong
bum-driller,bum,sexual anatomy / sexual acts,2.8,severe
bumhole,bum,sexual anatomy / sexual acts,1,mild
bung hole,bung,sexual anatomy / sexual acts,1,mild
butt fuck,fuck,sexual anatomy / sexual acts,2.2,strong
butt fucker,fuck,sexual anatomy / sexual acts,3,severe
butt hole,butt,sexual anatomy / sexual acts,1,mild
butt pirate,butt,sexual orientation / gender,2.2,strong
butt-fucker,fuck,sexual anatomy / sexual acts,2.2,strong
butt-fuckers,fuck,sexual anatomy / sexual acts,2.8,severe
butt-fucking-bandit,fuck,sexual anatomy / sexual acts,2.6,severe
butt-munchers,butt,sexual anatomy / sexual acts,2,strong
buttermilk,buttermilk,racial / ethnic slurs,1.4,mild
buttfuck,fuck,sexual anatomy / sexual acts,2.2,strong
buttfucker,fuck,sexual anatomy / sexual acts,3,severe
buttfuckers,fuck,sexual anatomy / sexual acts,3,severe
butthole,butt,sexual anatomy / sexual acts,1.2,mild
butthole boy,butt,sexual anatomy / sexual acts,2.6,severe
bwc,cock,sexual anatomy / sexual acts,1.4,mild
c*nt,cunt,sexual anatomy / sexual acts,3,severe
c*ntface,cunt,sexual anatomy / sexual acts,3,severe
c*nts,cunt,sexual orientation / gender,2.8,severe
c*nty,cunt,sexual anatomy / sexual acts,2.8,severe
c00n,coon,racial / ethnic slurs,2.8,severe
c00nies,coon,racial / ethnic slurs,2.6,severe
c0ck,cock,sexual anatomy / sexual acts,1.2,mild
c0ckhead,cock,sexual anatomy / sexual acts,2,strong
c0cks,cock,sexual anatomy / sexual acts,1.6,strong
c0cksuccer,cock,sexual anatomy / sexual acts,2,strong
c0cksucked,cock,sexual anatomy / sexual acts,2,strong
c0cksucker,cock,sexual anatomy / sexual acts,2.2,strong
c0cksuckers,cock,sexual anatomy / sexual acts,2.2,strong
c0x,cock,sexual anatomy / sexual acts,1.4,mild
c0xux0r,cock,sexual anatomy / sexual acts,1.8,strong
caaak,cock,sexual anatomy / sexual acts,1.4,mild
caca,shit,bodily fluids / excrement,1,mild
cack,cock,bodily fluids / excrement,1.2,mild
cagone,cojones,bodily fluids / excrement,1.2,mild
cajones,cojones,sexual anatomy / sexual acts,1,mild
camel jockey,camel jockey,racial / ethnic slurs,2.8,severe
cameltoe,cameltoe,sexual anatomy / sexual acts,1.2,mild
carpet muncher,carpet muncher,sexual anatomy / sexual acts,2.4,strong
carpetmuncher,carpet muncher,sexual anatomy / sexual acts,2.6,severe
carpetmunchers,carpet muncher,sexual orientation / gender,2.2,strong
carpetmunching,carpet muncher,sexual anatomy / sexual acts,1.6,strong
cawk,cock,sexual anatomy / sexual acts,1.4,mild
cawk muncher,cock,sexual anatomy / sexual acts,2.4,strong
cawkmuncher,cock,sexual anatomy / sexual acts,2.2,strong
cawks,cock,sexual anatomy / sexual acts,1.2,mild
cawksucker,cock,sexual anatomy / sexual acts,2.6,severe
ch1nk,chink,racial / ethnic slurs,3,severe
chesticles,testicles,sexual anatomy / sexual acts,1,mild
china-virus,china virus,political,2.2,strong
chinavirus,china virus,political,2.6,severe
chinese-virus,china virus,political,2.8,severe
chingchong,chingchong,racial / ethnic slurs,2.8,severe
chink,chink,racial / ethnic slurs,3,severe
chinky,chink,racial / ethnic slurs,3,severe
choad nectar,choad,bodily fluids / excrement,2,strong
chocha,chocha,sexual anatomy / sexual acts,2.4,strong
choke the chicken,choke the chicken,sexual anatomy / sexual acts,1.4,mild
cholo,cholo,racial / ethnic slurs,1.6,strong
clitlickers,clit,sexual anatomy / sexual acts,2,strong
closet fuckhead,fuck,sexual orientation / gender,2.8,severe
clusterfuck,fuck,sexual anatomy / sexual acts,1.8,strong
clusterfucked,fuck,sexual anatomy / sexual acts,2.2,strong
clusterfucker,fuck,sexual anatomy / sexual acts,2.4,strong
clusterfucking,fuck,sexual anatomy / sexual acts,2,strong
clusterfucks,fuck,sexual anatomy / sexual acts,2,strong
cobb knobbler,knob,sexual anatomy / sexual acts,1.8,strong
cock,cock,sexual anatomy / sexual acts,1.4,mild
cock droplets,cock,bodily fluids / excrement,2.4,strong
cock head,cock,sexual anatomy / sexual acts,2,strong
cock jockey,cock,sexual anatomy / sexual acts,2.4,strong
cock knocker,cock,sexual anatomy / sexual acts,1.8,strong
cock licker,cock,sexual anatomy / sexual acts,2,strong
cock munch,cock,sexual anatomy / sexual acts,2,strong
cock rider,cock,sexual anatomy / sexual acts,2.4,strong
cock smoker,cock,sexual anatomy / sexual acts,2.2,strong
cock snot,cock,sexual anatomy / sexual acts,2.2,strong
cock suck,cock,sexual anatomy / sexual acts,1.8,strong
cock sucker,cock,sexual anatomy / sexual acts,2.4,strong
cock sucking,cock,sexual anatomy / sexual acts,2.2,strong
cock sucking boiolas,cock,sexual anatomy / sexual acts,2.6,severe
cock sucking nob jokeys,cock,sexual anatomy / sexual acts,2.8,severe
cock tease,cock,sexual anatomy / sexual acts,1.8,strong
cock-face,cock,sexual anatomy / sexual acts,2.2,strong
cock-gobbler,cock,sexual anatomy / sexual acts,2.4,strong
cock-head,cock,sexual anatomy / sexual acts,1.8,strong
cock-sucker,cock,sexual anatomy / sexual acts,2,strong
cock-suckers,cock,sexual anatomy / sexual acts,2,strong
cockboy,cock,sexual anatomy / sexual acts,2.4,strong
cockeater,cock,sexual anatomy / sexual acts,2.2,strong
cockface,cock,sexual anatomy / sexual acts,2,strong
cockgobbler,cock,sexual anatomy / sexual acts,1.8,strong
cockh3ad,cock,sexual anatomy / sexual acts,2.4,strong
cockhead,cock,sexual anatomy / sexual acts,1.8,strong
cockheads,cock,sexual anatomy / sexual acts,2.4,strong
cockhed,cock,sexual anatomy / sexual acts,2,strong
cockless,cock,sexual anatomy / sexual acts,1.4,mild
cocklicker,cock,sexual anatomy / sexual acts,2.2,strong
cockmonger,cock,sexual anatomy / sexual acts,2.2,strong
cockmunch,cock,sexual anatomy / sexual acts,2.2,strong
cockmuncher,cock,sexual anatomy / sexual acts,1.8,strong
cocks,cock,sexual anatomy / sexual acts,1.6,strong
cockshit,cock,sexual anatomy / sexual acts,2.2,strong
cockskin,cock,sexual anatomy / sexual acts,1.8,strong
cocksmoker,cock,sexual anatomy / sexual acts,2.2,strong
cocksucc,cock,sexual anatomy / sexual acts,2,strong
cocksuccas,cock,sexual anatomy / sexual acts,2.2,strong
cocksuccer,cock,sexual anatomy / sexual acts,2.2,strong
cocksuccers,cock,sexual anatomy / sexual acts,2.2,strong
cocksuck,cock,sexual anatomy / sexual acts,2.2,strong
cocksuckas,cock,sexual anatomy / sexual acts,2.4,strong
cocksucked,cock,sexual anatomy / sexual acts,2,strong
cocksucker,cock,sexual anatomy / sexual acts,2.2,strong
cocksuckers,cock,sexual anatomy / sexual acts,2.2,strong
cocksucking,cock,sexual anatomy / sexual acts,2.4,strong
cocksucking mothafuckers,motherfucker,sexual anatomy / sexual acts,3,severe
cocksucks,cock,sexual anatomy / sexual acts,2.2,strong
cocksuk,cock,sexual anatomy / sexual acts,2,strong
cocksuka,cock,sexual anatomy / sexual acts,2,strong
cocksukka,cock,sexual anatomy / sexual acts,2.2,strong
cocsuck,cock,sexual anatomy / sexual acts,2,strong
cokmuncher,cock,sexual anatomy / sexual acts,2.2,strong
coksucka,cock,sexual anatomy / sexual acts,1.8,strong
coolie,coolie,racial / ethnic slurs,1.8,strong
coon,coon,racial / ethnic slurs,3,severe
coon1es,coon,racial / ethnic slurs,3,severe
cooni3s,coon,racial / ethnic slurs,2.4,strong
coonie,coon,racial / ethnic slurs,2.8,severe
coonies,coon,racial / ethnic slurs,3,severe
coons,coon,racial / ethnic slurs,2.8,severe
coot,coot,sexual anatomy / sexual acts,1.6,strong
coot coot,coot,sexual anatomy / sexual acts,1.4,mild
cooter,coot,sexual anatomy / sexual acts,1.2,mild
cooter shooting,coot,sexual anatomy / sexual acts,2.6,severe
cooterpuffing,coot,sexual anatomy / sexual acts,2.4,strong
cooties,cooties,other / general insult,1,mild
cotton picker,cotton picker,racial / ethnic slurs,2.8,severe
crazy mofos,motherfucker,sexual anatomy / sexual acts,1.4,mild
crazy sob,bitch,mental disability,1.4,mild
creampie,creampie,sexual anatomy / sexual acts,2.2,strong
crotch,crotch,sexual anatomy / sexual acts,1,mild
crotch fiddler,crotch,sexual anatomy / sexual acts,2.2,strong
crotchy,crotch,sexual anatomy / sexual acts,1.4,mild
crow,crow,animal references,1,mild
crows,crow,sexual orientation / gender,1.4,mild
cuksuker,cock,sexual anatomy / sexual acts,2.4,strong
cuksukka,cock,sexual anatomy / sexual acts,2.2,strong
cum goon,cum,sexual anatomy / sexual acts,2,strong
cumball,cum,bodily fluids / excrement,2.4,strong
cumdumpster,cum,bodily fluids / excrement,2.8,severe
cumming,cum,bodily fluids / excrement,1.6,strong
cums,cum,bodily fluids / excrement,1.4,mild
cumslut,cum,bodily fluids / excrement,2.8,severe
cumz,cum,bodily fluids / excrement,2,strong
cunnilingus,cunnilingus,sexual anatomy / sexual acts,2,strong
cunt,cunt,sexual anatomy / sexual acts,2.6,severe
cunt ass,cunt,sexual anatomy / sexual acts,2.8,severe
cunt fart,cunt,sexual anatomy / sexual acts,2.6,severe
cunt lick,cunt,sexual anatomy / sexual acts,3,severe
cunt licker,cunt,sexual anatomy / sexual acts,3,severe
cunt lips,cunt,sexual anatomy / sexual acts,2.8,severe
cuntasaurus rex,cunt,sexual anatomy / sexual acts,2.8,severe
cuntbag,cunt,sexual anatomy / sexual acts,3,severe
cuntbollock,cunt,sexual anatomy / sexual acts,2.2,strong
cuntelope,cunt,sexual anatomy / sexual acts,2.4,strong
cuntits,cunt,sexual anatomy / sexual acts,2.8,severe
cuntless,cunt,sexual anatomy / sexual acts,2.8,severe
cuntlick,cunt,sexual anatomy / sexual acts,3,severe
cuntlicker,cunt,sexual anatomy / sexual acts,2.4,strong
cuntlickers,cunt,sexual anatomy / sexual acts,2.6,severe
cuntness,cunt,sexual anatomy / sexual acts,3,severe
cunts,cunt,sexual anatomy / sexual acts,2.6,severe
cunty,cunt,sexual anatomy / sexual acts,2.8,severe
cuntz,cunt,sexual anatomy / sexual acts,2.8,severe
cuunt,cunt,sexual anatomy / sexual acts,2.6,severe
cyberfck,fuck,sexual anatomy / sexual acts,2.2,strong
cyberfcks,fuck,sexual anatomy / sexual acts,2.4,strong
cyberfuccs,fuck,sexual anatomy / sexual acts,2.2,strong
cyberfucks,fuck,sexual anatomy / sexual acts,2.2,strong
cyberfucs,fuck,sexual anatomy / sexual acts,2,strong
cyberfukk,fuck,sexual anatomy / sexual acts,2,strong
cyberfukks,fuck,sexual anatomy / sexual acts,2.2,strong
cyberfvcks,fuck,sexual anatomy / sexual acts,2.2,strong
d!ck,dick,sexual anatomy / sexual acts,1,mild
d!cks,dick,sexual anatomy / sexual acts,1,mild
d!ld0,dildo,sexual anatomy / sexual acts,1.4,mild
d!ldo,dildo,sexual anatomy / sexual acts,1.4,mild
d0ggy style,doggy style,sexual anatomy / sexual acts,1.8,strong
d1ck,dick,sexual anatomy / sexual acts,1,mild
d1ckhead,dick,sexual anatomy / sexual acts,1.8,strong
d1ckheads,dick,sexual anatomy / sexual acts,1.8,strong
d1cks,dick,sexual anatomy / sexual acts,1.4,mild
d1cksucker,dick,sexual anatomy / sexual acts,1.8,strong
d1cksukka,dick,sexual anatomy / sexual acts,2,strong
d1ckz,dick,sexual anatomy / sexual acts,1,mild
d1ldo,dildo,sexual anatomy / sexual acts,1.4,mild
dafuq,fuck,sexual anatomy / sexual acts,2.2,strong
dago,dago,racial / ethnic slurs,2.2,strong
darkass,ass,racial / ethnic slurs,2.6,severe
darkfuck,fuck,sexual anatomy / sexual acts,2.4,strong
darkie,darky,racial / ethnic slurs,2.8,severe
darkshit,shit,bodily fluids / excrement,3,severe
darktard,retard,racial / ethnic slurs,3,severe
darky,darky,racial / ethnic slurs,2.8,severe
dick breath,dick,sexual anatomy / sexual acts,2,strong
dick face,dick,sexual anatomy / sexual acts,1.8,strong
dick fucker,fuck,sexual anatomy / sexual acts,2.8,severe
dick head,dick,sexual anatomy / sexual acts,1.8,strong
dick licker,dick,sexual anatomy / sexual acts,2.4,strong
dick milker,dick,sexual anatomy / sexual acts,2.2,strong
dick nibbler,dick,sexual anatomy / sexual acts,2.4,strong
dick smoker,dick,sexual anatomy / sexual acts,2.4,strong
dick sucker,dick,sexual anatomy / sexual acts,2.2,strong
dick-face,dick,sexual anatomy / sexual acts,1.8,strong
dick-gobbler,dick,sexual anatomy / sexual acts,1.8,strong
dick-head,dick,sexual anatomy / sexual acts,1.8,strong
dickface,dick,sexual anatomy / sexual acts,2,strong
dickfucker,dick,sexual anatomy / sexual acts,2.8,severe
dickhead,dick,sexual anatomy / sexual acts,2,strong
dickheads,dick,sexual anatomy / sexual acts,1.6,strong
dickjockies,dick,sexual anatomy / sexual acts,2.2,strong
dickless,dick,sexual anatomy / sexual acts,1.4,mild
dicklicker,dick,sexual anatomy / sexual acts,2.2,strong
dickmuncher,dick,sexual anatomy / sexual acts,2,strong
dicks,dick,sexual anatomy / sexual acts,1,mild
dickskin,dick,sexual anatomy / sexual acts,1.8,strong
dickslapper,dick,sexual anatomy / sexual acts,1.8,strong
dicksmoker,dick,sexual anatomy / sexual acts,2.8,severe
dicksucker,dick,sexual anatomy / sexual acts,2.2,strong
dickvag,dick,sexual anatomy / sexual acts,1.6,strong
dickz,dick,sexual anatomy / sexual acts,1.2,mild
diddle,diddle,sexual anatomy / sexual acts,1,mild
dikhead,dick,sexual anatomy / sexual acts,1.6,strong
diks,dick,sexual anatomy / sexual acts,1.2,mild
dild0,dildo,sexual anatomy / sexual acts,1,mild
dipsh1t,shit,mental disability,1.6,strong
dipsh1tty,shit,bodily fluids / excrement,1.6,strong
dipshat,shit,bodily fluids / excrement,1.2,mild
dipshidiot,shit,bodily fluids / excrement,1.6,strong
dipshit,shit,bodily fluids / excrement,1.4,mild
dipshite,shit,bodily fluids / excrement,1.6,strong
dipshits,shit,bodily fluids / excrement,1.6,strong
dipshitter,shit,bodily fluids / excrement,1.6,strong
dipshitty,shit,bodily fluids / excrement,1.8,strong
dipstick,dipstick,sexual anatomy / sexual acts,1.2,mild
dirty sanchez,dirty sanchez,sexual anatomy / sexual acts,2.4,strong
dix,dick,sexual anatomy / sexual acts,1,mild
dlck,dick,sexual anatomy / sexual acts,1.2,mild
dlcks,dick,sexual anatomy / sexual acts,1,mild
dog fuck,fuck,sexual anatomy / sexual acts,2.8,severe
dog fucker,fuck,sexual anatomy / sexual acts,3,severe
dog fucking,fuck,sexual anatomy / sexual acts,2.8,severe
dog shit,shit,bodily fluids / excrement,1.2,mild
dog-fucker,fuck,sexual anatomy / sexual acts,2.8,severe
dog's bollocks,bollocks,sexual anatomy / sexual acts,1.2,mild
doggo style,doggy style,sexual anatomy / sexual acts,1.2,mild
doggy style,doggy style,sexual anatomy / sexual acts,1.4,mild
doggy_style,doggy style,sexual anatomy / sexual acts,1.4,mild
dogie style,doggy style,sexual anatomy / sexual acts,1,mild
dogsh1t,shit,bodily fluids / excrement,1.2,mild
dogsh1ts,shit,bodily fluids / excrement,1,mild
dogshit,shit,bodily fluids / excrement,1,mild
dogshits,shit,bodily fluids / excrement,1.4,mild
dogstyle,doggy style,sexual anatomy / sexual acts,1,mild
dolt,dolt,mental disability,1,mild
dong,dong,sexual anatomy / sexual acts,1.2,mild
doosh,douche,bodily fluids / excrement,1.4,mild
dothead,dothead,racial / ethnic slurs,2.6,severe
double dick,dick,sexual anatomy / sexual acts,1.6,strong
double dicking,dick,sexual anatomy / sexual acts,2.2,strong
double pen,double pen,sexual anatomy / sexual acts,1.2,mild
double-dong,dong,sexual anatomy / sexual acts,1.4,mild
douche,douche,sexual anatomy / sexual acts,1,mild
douche bag,douche,other / general insult,1,mild
douche canoe,douche,sexual anatomy / sexual acts,1.4,mild
douchebag,douche,sexual anatomy / sexual acts,1.4,mild
dumasses,ass,sexual anatomy / sexual acts,1,mild
dumb bastard,bastard,other / general insult,1.2,mild
dumb fucker,fuck,sexual anatomy / sexual acts,2,strong
dumb@ss,ass,sexual anatomy / sexual acts,1.2,mild
dumbarrassed,ass,mental disability,1.4,mild
dumbass,ass,mental disability,1.4,mild
dumbass fucker,fuck,sexual anatomy / sexual acts,2.6,severe
dumbass mofoes,ass,sexual anatomy / sexual acts,2.4,strong
dumbass mothafuckers,motherfucker,sexual anatomy / sexual acts,2.8,severe
dumbass son-of-a-bitch,bitch,sexual anatomy / sexual acts,1.8,strong
dumbasses,ass,sexual anatomy / sexual acts,1,mild
dumbfucks,fuck,sexual anatomy / sexual acts,2.2,strong
dumbshit,shit,bodily fluids / excrement,1.6,strong
dump a load,dump a load,bodily fluids / excrement,1.6,strong
dune coon,coon,racial / ethnic slurs,3,severe
dyke,dyke,sexual orientation / gender,2.8,severe
erectoplasm,erectoplasm,bodily fluids / excrement,1.8,strong
f_u_c_k,fuck,sexual anatomy / sexual acts,2.2,strong
f'ed,fuck,sexual anatomy / sexual acts,1.8,strong
f'er,fuck,sexual anatomy / sexual acts,1.6,strong
f@ck,fuck,sexual anatomy / sexual acts,1.6,strong
f@cker bunny,fuck,sexual anatomy / sexual acts,2.2,strong
f@g,faggot,sexual orientation / gender,2.8,severe
f@gg0t,faggot,sexual orientation / gender,3,severe
f@gging,faggot,sexual orientation / gender,2.8,severe
f@ggot,faggot,sexual orientation / gender,3,severe
f@gs,faggot,sexual orientation / gender,3,severe
f@gshit,shit,sexual orientation / gender,2.8,severe
f@k,fuck,sexual anatomy / sexual acts,1.8,strong
f0ck,fuck,sexual anatomy / sexual acts,2,strong
f0cked,fuck,sexual anatomy / sexual acts,2,strong
f0cker,fuck,sexual anatomy / sexual acts,2.4,strong
f0ckers,fuck,sexual anatomy / sexual acts,2.2,strong
face fuck,fuck,sexual anatomy / sexual acts,2.8,severe
fack,fuck,sexual anatomy / sexual acts,1.4,mild
fackuhs,fuck,sexual anatomy / sexual acts,2,strong
fag,faggot,sexual orientation / gender,2.8,severe
fag asses,faggot,sexual orientation / gender,2.8,severe
fag bag,faggot,sexual orientation / gender,2.8,severe
fag hag,faggot,sexual orientation / gender,2.6,severe
fag queen,faggot,sexual orientation / gender,2.8,severe
fag0t,faggot,sexual orientation / gender,3,severe
faget,faggot,sexual orientation / gender,3,severe
fagg0t,faggot,sexual orientation / gender,3,severe
fagging,faggot,sexual orientation / gender,3,severe
faggo,faggot,sexual orientation / gender,2.8,severe
faggot,faggot,sexual orientation / gender,2.8,severe
faggot mofoes,faggot,sexual anatomy / sexual acts,3,severe
faggot mothafuckers,motherfucker,sexual anatomy / sexual acts,3,severe
faggot nob jokeys,faggot,sexual anatomy / sexual acts,3,severe
faggot nobjockies,faggot,sexual orientation / gender,3,severe
faggot son-of-a-bitch,faggot,sexual orientation / gender,3,severe
faggoting,faggot,sexual orientation / gender,3,severe
faggots,faggot,sexual orientation / gender,3,severe
faggs,faggot,sexual orientation / gender,3,severe
faggy,faggot,sexual orientation / gender,3,severe
fagot,faggot,sexual orientation / gender,2.8,severe
fags,faggot,sexual orientation / gender,3,severe
fagshit,faggot,bodily fluids / excrement,3,severe
fart-fucker,fuck,sexual anatomy / sexual acts,2.2,strong
fatass,ass,sexual anatomy / sexual acts,1.2,mild
fatasses,ass,sexual anatomy / sexual acts,1.2,mild
fccuker,fuck,sexual anatomy / sexual acts,2,strong
fck,fuck,sexual anatomy / sexual acts,2.4,strong
fck you,fuck,sexual anatomy / sexual acts,2.2,strong
fcka,fuck,sexual anatomy / sexual acts,1.8,strong
fckahz,fuck,sexual anatomy / sexual acts,2.2,strong
fcked,fuck,sexual anatomy / sexual acts,2,strong
fckedup,fuck,sexual anatomy / sexual acts,2,strong
fcker,fuck,sexual anatomy / sexual acts,2.2,strong
fckin,fuck,sexual anatomy / sexual acts,2,strong
fcking,fuck,sexual anatomy / sexual acts,2.2,strong
fckk,fuck,sexual anatomy / sexual acts,2.2,strong
fckked,fuck,sexual anatomy / sexual acts,2,strong
fckking,fuck,sexual anatomy / sexual acts,2.2,strong
fcks,fuck,sexual anatomy / sexual acts,2,strong
fcktard,fuck,sexual anatomy / sexual acts,2.8,severe
fckyeah,fuck,other / general insult,1.6,strong
fcuk,fuck,sexual anatomy / sexual acts,2,strong
fcuked,fuck,sexual anatomy / sexual acts,2.2,strong
fcuker,fuck,sexual anatomy / sexual acts,2.4,strong
fcukers,fuck,sexual anatomy / sexual acts,2.2,strong
fcuking,fuck,sexual anatomy / sexual acts,2.2,strong
fcukker,fuck,sexual anatomy / sexual acts,2.2,strong
fcuks,fuck,sexual anatomy / sexual acts,2.2,strong
fcvking,fuck,sexual anatomy / sexual acts,2.2,strong
feck,fuck,sexual anatomy / sexual acts,1.6,strong
feck arse,arse,sexual anatomy / sexual acts,2.2,strong
fecker,fuck,sexual anatomy / sexual acts,2.2,strong
feg,faggot,sexual orientation / gender,2.4,strong
fellatio aficionado,fellatio,sexual anatomy / sexual acts,2,strong
fellator,fellatio,sexual anatomy / sexual acts,1.6,strong
fick,fuck,sexual anatomy / sexual acts,1.6,strong
finger,finger,sexual anatomy / sexual acts,1,mild
finger fuck,fuck,sexual anatomy / sexual acts,2.6,severe
fingerbanged,finger,sexual anatomy / sexual acts,1.6,strong
fingerpop,finger,sexual anatomy / sexual acts,1.4,mild
fk bunny,fuck,sexual anatomy / sexual acts,2,strong
fkbny,fuck,sexual anatomy / sexual acts,1.6,strong
fked,fuck,sexual anatomy / sexual acts,2,strong
fker,fuck,sexual anatomy / sexual acts,2.4,strong
fking,fuck,sexual anatomy / sexual acts,2.2,strong
fkings,fuck,sexual anatomy / sexual acts,1.8,strong
fkker,fuck,sexual anatomy / sexual acts,2.2,strong
flamer,flamer,sexual orientation / gender,2,strong
flamers,flamer,sexual orientation / gender,2.8,severe
focker,fuck,sexual anatomy / sexual acts,2,strong
fook,fuck,sexual anatomy / sexual acts,1.6,strong
fooker,fuck,sexual anatomy / sexual acts,1.8,strong
fookuh,fuck,sexual anatomy / sexual acts,1.8,strong
forked,fuck,sexual anatomy / sexual acts,1,mild
fothermuckers,motherfucker,sexual anatomy / sexual acts,1.8,strong
fuc,fuck,sexual anatomy / sexual acts,1.6,strong
fucc,fuck,sexual anatomy / sexual acts,2,strong
fucca,fuck,sexual anatomy / sexual acts,2,strong
fuccers,fuck,sexual anatomy / sexual acts,2.2,strong
fuccing,fuck,sexual anatomy / sexual acts,2.6,severe
